id,cik,filing,docs_link,filing_desc,effective,file_num,file_num_raw,filing_date,update_ts
320812,0001638449,10-D,/Archives/edgar/data/1638449/000114420416121033/0001144204-16-121033-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001144204-16-121033 (34 Act)  Size: 157 KB            ",2016-08-24,333-185213-07,"333-185213-07
161849663         ",NULL,"2021-05-23 02:10:56"
232545,0001362268,10-D,/Archives/edgar/data/1362268/000102024206000589/0001020242-06-000589-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001020242-06-000589 (34 Act)  Size: 682 KB            ",2006-07-03,333-131895-02,"333-131895-02
06940087         ",NULL,"2021-05-23 01:38:47"
129580,0001163321,424B2,/Archives/edgar/data/1163321/000119312506199695/0001193125-06-199695-index.htm,"Prospectus [Rule 424(b)(2)]
Acc-no: 0001193125-06-199695 (33 Act)  Size: 574 KB            ",2006-09-29,333-130862-02,"333-130862-02
061115919         ",NULL,"2021-05-23 00:47:06"
207637,0001328991,8-K/A,/Archives/edgar/data/1328991/000114177606000107/0001141776-06-000107-index.htm,"[Amend]
 Current report, item 8.01

Acc-no: 0001141776-06-000107 (34 Act)  Size: 47 KB            ",2006-04-04,333-124036-11,"333-124036-11
06736392         ",NULL,"2021-05-23 01:23:37"
363337,0001779026,ABS-EE,/Archives/edgar/data/1779026/000177902620000008/0001779026-20-000008-index.htm,"Asset-Backed Electronic Exhibits
Acc-no: 0001779026-20-000008 (34 Act)  Size: 251 MB            ",2020-02-18,333-228379-03,"333-228379-03
20623880         ",NULL,"2021-05-23 02:23:38"
77075,0001021913,ABS-15G,/Archives/edgar/data/1021913/000112825020000042/0001128250-20-000042-index.htm,"Asset-backed securitizer report pursuant to Section 15G, item 1.02

Acc-no: 0001128250-20-000042 (DF Act)  Size: 8 KB            ",2020-02-12,025-00855,"025-00855
20602877         ",NULL,"2021-05-23 00:20:37"
148917,0001211571,8-K,/Archives/edgar/data/1211571/000105117003000167/0001051170-03-000167-index.htm,"Current report, items 5 and 7

Acc-no: 0001051170-03-000167 Size: 9 KB            ",2003-03-18,333-77054-35,"333-77054-35
03607780         ",NULL,"2021-05-23 00:53:12"
74668,0001017447,SE,/Archives/edgar/data/1017447/999999999705047491/9999999997-05-047491-index.htm,"[Paper]
Exhibits
Acc-no: 9999999997-05-047491 (NE Act)  Size: 1 KB            ",2005-11-23,333-126443,"333-126443
05072567         ",NULL,"2021-05-23 00:19:48"
159868,0001245821,8-K,/Archives/edgar/data/1245821/000124582103000004/0001245821-03-000004-index.htm,"Current report, items 5 and 7

Acc-no: 0001245821-03-000004 Size: 14 KB            ",2003-08-11,333-103345-11,"333-103345-11
03834914         ",NULL,"2021-05-23 00:57:34"
292558,0001556811,10-D,/Archives/edgar/data/1556811/000119312514156419/0001193125-14-156419-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001193125-14-156419 (34 Act)  Size: 844 KB            ",2014-04-24,333-166711-02,"333-166711-02
14780833         ",NULL,"2021-05-23 02:03:30"
144327,0001186142,S-3/A,/Archives/edgar/data/1186142/000114420407019016/0001144204-07-019016-index.htm,"[Amend]
 Registration statement under Securities Act of 1933
Acc-no: 0001144204-07-019016 (33 Act)  Size: 7 MB            ",2007-04-17,333-141696,"333-141696
07769479         ",NULL,"2021-05-23 00:50:32"
